Menu Category,Menu Items,Serve_Size,Calories,Protein,Total_fat,Cholesterols,Total_carbohydrate,Total_Sugars
Gourmet Menu,American Triple Cheese Chicken,195 g,457.94,24.43,22.65,71.23,37.45,7.64
Gourmet Menu,American Triple Cheese Veg,207 g,524.69,19.54,23.16,48.74,56.24,7.9
Gourmet Menu,Cheese Lava Burger,240 g,671.06,14.99,33.48,33.21,74.25,16.27
Gourmet Menu,Chicken Cheese Lava Burger,307 g,834.36,27.37,45.18,73.11,76.03,16.75
Gourmet Menu,Chunky Chipotle American Burger Chicken,301 g,641.36,39.47,31.51,110.37,46.24,9.16
Gourmet Menu,McSpicy Premium Chicken Burger,264.5 g,622.25,31.49,34.65,302.61,43.6,6.07
Gourmet Menu,McSpicy Premium Veg Burger,212.5 g,634.71,22.44,39.21,43.68,46,7.57
Gourmet Menu,Piri piri Mc Spicy Chicken Burger,228 g,443.4,25.63,17.3,64.19,43.29,9.29
Gourmet Menu,Piri piri Mc Spicy Veg Burger,211 g,517.98,11.97,24.53,8.1,58.87,12.87
Gourmet Menu,Cheesy Veg Nuggets (6pc),90 g,252.29,8.48,13.09,20.03,23.6,1.31
Gourmet Menu,Cheesy Veg Nuggets (9pc),135 g,378.43,12.72,19.63,30.05,35.4,1.96
Beverages Menu,Small Coca-Cola,299 ml,109.56,0,0,0,27.39,27.39
Beverages Menu,Medium Coca-Cola,394 ml,151.36,0,0,0,37.84,37.84
Beverages Menu,Large Coca-Cola,544 ml,217.36,0,0,0,54.34,54.34
Beverages Menu,Small Fanta Oragne,299 ml,129.48,0,0,0,32.37,32.37
Beverages Menu,Medium Fanta Orange,394 ml,178.88,0,0,0,44.72,44.72
Beverages Menu,Large Fanta Oragne,544 ml,256.88,0,0,0,64.22,64.22
Beverages Menu,Small Thums-up,299 ml,99.6,0,0,0,24.9,24.9
Beverages Menu,Medium Thums-up,394 ml,137.6,0,0,0,34.4,34.4
Beverages Menu,Large Thums-up,544 ml,197.6,0,0,0,49.4,49.4
Beverages Menu,Small Sprite,299 ml,119.52,0,0,0,29.88,29.88
Beverages Menu,Medium Sprite,394 ml,165.12,0,0,0,41.28,41.28
Beverages Menu,Large Sprite,544 ml,237.12,0,0,0,59.28,59.28
Beverages Menu,Coke Float,286.79 ml,138.76,1.52,1.75,4.7,29.22,28.23
Beverages Menu,Fanta Float,286.79 ml,151.56,1.52,1.75,4.7,32.42,31.43
Beverages Menu,Sprite Float,286.79 ml,145.16,1.52,1.75,4.7,30.82,29.83
Beverages Menu,Coke Zero Can,330 ml,0.99,0,0,0,0,0
Beverages Menu,Vedica Natural Mineral Water,500 ml,0,0,0,0,0,0
Condiments Menu,Mustard diping sauce,25 g,81.18,0.52,5.57,0.29,7.24,6.66
Condiments Menu,BBQ diping sauce,25 g,54.89,0.26,0.49,0.25,12.36,7.65
Condiments Menu,Chilli Sauce,10 g,8.07,0.03,0.01,0.1,1.99,1.53
Condiments Menu,Piri Piri Mix,5 g,17.13,0.51,0.36,0.05,2.5,0.66
Condiments Menu,Tomato Ketchup Sachets,8 g,11.23,0.08,23.45,0.08,2.63,2.33
Condiments Menu,Maple Syrup,30 g,86.4,0,0,0.3,21.6,16.2
Condiments Menu,Cheese Slice,14 g,51.03,3.06,3.99,13.43,0.72,0.54
Condiments Menu,Sweet Corn,40 g,45.08,1.47,1,2,7.55,2.54
Condiments Menu,Mixed Fruit Beverage,180 ml,72.25,0.65,0.02,0.01,18,16.83
